rain,radarX,radarY,date,text,latlon,tiffile,labels
5291.0,320.0,474.0,20131013,"Wateroverlast: ""Het lijkt wel 1998"" http://t.co/cKKpLBTEP1 /via @NOS #WSHD Dijkgraaf ""dagen nodig voor nominaal peilniveau""","(51.737183, 4.444942)",ahn2_5_43ez2.tif,1
5291.0,320.0,474.0,20131013,In wijk Philipsburg @GemCromstrijen staat het water hoog in de watergang. #wateroverlast #stedelijkwater http://t.co/NCDSOZHrfM,"(51.73715979, 4.44492226)",ahn2_5_43ez2.tif,1
4945.0,321.0,452.0,20131013,"""@inHillegersberg: #Wateroverlast in #Hillegersberg! http://t.co/xn3bNPHkEY"" #fb","(51.9240645, 4.47840539)",ahn2_5_37fz1.tif,1
4945.0,321.0,452.0,20131013,"""@iThommy: Extra respect voor de brandweer op dagen als deze! #wateroverlast"" #fb","(51.9240645, 4.47840539)",ahn2_5_37fz1.tif,1
5097.0,321.0,453.0,20131013,De brandweer gaat met spoed naar #Museumpark 18 in #Rotterdam #wateroverlast [20:38] http://t.co/IEOcfb7wcn,"(51.9144227, 4.4731277)",ahn2_5_37hn1.tif,1
5097.0,321.0,453.0,20131013,#1400231 | #Rotterdam | PRIO 2 TS432 Boymans Museum Museumpark  Rotterdam Wateroverlast Vak: 5991900 | http://t.co/BlJ53LdcWD #p2000,"(51.9144227, 4.4731277)",ahn2_5_37hn1.tif,1
5214.0,321.0,454.0,20131013,#1400231 | #Rotterdam | PRIO 2 TS231 Scheepstimmermanslaan  Rotterdam Wateroverlast Vak: 5991051 | http://t.co/gm2kMxkcsk #p2000,"(51.910807, 4.4774741)",ahn2_5_37hn1.tif,1
4775.0,323.0,436.0,20131013,"Regen regen en nog eens regen, ik ben verdomme toch geen duiker! !#wateroverlast","(52.0641426, 4.5199629)",ahn2_5_30hz2.tif,1
4783.0,323.0,452.0,20131013,Bier &amp; bijkomen na 7 uur wateroverlast (@ Eetcafé Van Stralen w/ @fvancroonenborg) [pic]: http://t.co/zZG6MdqCoq,"(51.92632986, 4.51173681)",ahn2_5_37fz1.tif,1
5435.0,325.0,459.0,20131013,De brandweer gaat met gepaste spoed naar #Voordijk 272 in #Barendrecht #wateroverlast [13:51] http://t.co/UD8PfnbGJo,"(51.8589898, 4.5231179)",ahn2_5_37hz2.tif,1
